event_date,user_pseudo_id,session_id,upsell_item_id,upsell_base_product_id,upsell_item_name,upsell_revenue,parent_item_id,parent_base_product_id,parent_item_name,match_strategy,confidence_score,parent_identified
20260114,1579238616.1768458233,1768458233,NF0A87X3KX7,NF0A87X3,Women’s Snoga Pants,235.0,,,,,,false
20260114,2123281221.1768457639,1768457638,NF0A5AD24H0,NF0A5AD2,Women’s Freedom Insulated Bibs,250.0,NF0A89QKJK3,NF0A89QK,Women’s Montana Ski Mitts,sequential_same_session,90,true
20260114,625661171.1768458058,1768458058,NF0A83O5KY4,NF0A83O5,Baby Tent Mules,45.0,NF0A7WPFGOF,NF0A7WPF,Baby 1996 Retro Nuptse One-Piece,sequential_same_session,90,true
20260114,798439582.1768109797,1768453341,NF0A5FXMJK3,NF0A5FXM,Women’s Horizon Hat,21.0,NF00A8BABOA,NF00A8BA,Women’s Quest Hooded Jacket,sequential_same_session,90,true
20260114,1101945212.1768453878,1768453877,NF0A5GGGJK3,NF0A5GGG,Women’s Hydrenalite™ Down Hoodie,212.5,NF0A88Z1BQ1,NF0A88Z1,Women’s Hydrenalite™ Down Jacket,sequential_same_session,90,true
20260114,504919428.1765307828,1768453417,NF0A4SHA21L,NF0A4SHA,Etip™ Recycled Gloves,45.0,NF0A8CHEEU9,NF0A8CHE,TNF™ Logo Box Cuffed Beanie,sequential_same_session,90,true
20260114,804823791.1768453633,1768453633,NF0A8EG8JK3,NF0A8EG8,TNF™ Red Box Beanie,35.0,NF0A8EG10SA,NF0A8EG1,Men’s TNF™ Red Box Crew,sequential_same_session,90,true
20260114,1368808646.1768001429,1768453887,NF0A8889JK3,NF0A8889,Base Balaclava,40.0,,,,,,false
20260114,1309211348.1764181051,1768453156,NF0A8880JK3,NF0A8880,Women’s Oh Mega Fur Pom Beanie,45.0,,,,,,false
20260114,1309211348.1764181051,1768453156,NF0A4SHBJK3,NF0A4SHB,Women’s Etip™ Recycled Gloves,50.0,,,,,,false
20260114,/Vy8LDXmggJoBP+9ZAr+h5fsP6fS1y2xHgMCrM+cHzc=.1767584819,1768450379,NF0A7QEY4H0,NF0A7QEY,Men’s Antora Jacket,130.0,NF0A8A48KX7,NF0A8A48,Boys’ Antora Rain Jacket,sequential_same_session,90,true
20260114,207695521.1731975937,1768449669,NF0A7WGEBOM,NF0A7WGE,Kids’ Recycled Etip™ Gloves,40.0,NF0A88TXBOM,NF0A88TX,Boys’ North Down Hooded Jacket,sequential_same_session,90,true
20260114,829652762.1768446060,1768446060,NF0A8CGSJK3,NF0A8CGS,Kids’ Salty Lined Beanie,28.0,NF0A86XVKX7,NF0A86XV,Girls’ Never Stop Tights,sequential_same_session,90,true
20260114,1613691575.1768445232,1768445231,NF0A89QGBOM,NF0A89QG,Men’s Montana Ski Gloves,65.0,NF0A82VUD20,NF0A82VU,Men’s Freedom Insulated Jacket,sequential_same_session,90,true
20260114,1430654925.1768415589,1768446768,NF0A8CHEBOX,NF0A8CHE,TNF™ Logo Box Cuffed Beanie,30.0,,,,,,false
20260114,1430654925.1768415589,1768446768,NF0A8CHEJK3,NF0A8CHE,TNF™ Logo Box Cuffed Beanie,35.0,,,,,,false
20260114,997212691.1768447091,1768447091,NF0A8E8RT8L,NF0A8E8R,The North Face X SKIMS DOTKNIT Balaclava,60.0,NF0A8JJNT8L,NF0A8JJN,The North Face X SKIMS Women's Off The Clock One Piece,sequential_same_session,90,true
20260114,718036332.1768442577,1768447300,NF0A8E8RT7X,NF0A8E8R,The North Face X SKIMS DOTKNIT Balaclava,60.0,,,,,,false
20260114,747160213.1768445046,1768445045,NF0A8CWMBOM,NF0A8CWM,Men’s Evolution Simple Dome Regular Hoodie,46.0,NF0A8DNXJK3,NF0A8DNX,Men’s Explore Farther Parka,sequential_same_session,90,true
20260114,410037117.1768341084,1768445594,NF0A7QAWD1R,NF0A7QAW,Men’s Alta Vista Jacket,136.0,,,,,,false
20260114,Ch31SBVWxhdFiZOZBs0Ryn3zi/RUAq+BgTcqMOkfzzM=.1768049149,1768444725,NF0A8880JK3,NF0A8880,Women’s Oh Mega Fur Pom Beanie,38.25,NF0A84J64H0,NF0A84J6,Women’s Arctic Parka Premium,sequential_same_session,90,true
20260114,Ch31SBVWxhdFiZOZBs0Ryn3zi/RUAq+BgTcqMOkfzzM=.1768049149,1768444725,NF0A8880DYY,NF0A8880,Women’s Oh Mega Fur Pom Beanie,38.25,,,,,,false
20260114,2050143768.1767994373,1768444101,NF0A888KJK3,NF0A888K,Etip™ Trail Gloves,46.75,NF0A87C54GZ,NF0A87C5,Trail Lite 36 Backpack,cross_session_recency,70,true
20260114,1471172231.1768441608,1768441607,NF0A8CHEJK3,NF0A8CHE,TNF™ Logo Box Cuffed Beanie,35.0,NF0A8AZE8K2,NF0A8AZE,Men’s Cedar Trail Grid Fleece ¼-Zip,sequential_same_session,90,true
20260114,587933211.1768441932,1768441931,NF0A81BLKT0,NF0A81BL,Base Camp Voyager Toiletry Kit,45.0,NF0A52S34WC,NF0A52S3,Base Camp Voyager Duffel—62L,sequential_same_session,90,true
20260114,2130160390.1766536635,1768442353,NF0A89RBJK3,NF0A89RB,Men’s Apex Insulated Etip™ Gloves,60.0,NF0A84FCGOE,NF0A84FC,Men’s Mountain Light Triclimate® GORE-TEX® Jacket,sequential_same_session,90,true
20260114,1793343156.1768394101,1768441494,NF0A8880BTR,NF0A8880,Women’s Oh Mega Fur Pom Beanie,45.0,NF0A8E89EOI,NF0A8E89,Women’s Yumiori ¼-Zip Jacket,sequential_same_session,90,true
20260114,249771721.1762046269,1768441192,NF0A888QJK3,NF0A888Q,Women’s Osito Etip™ Gloves,40.0,,,,,,false
20260114,198999946.1768440360,1768440360,NF0A8EMFQZI,NF0A8EMF,Kids’ THERMOBALL™ Hooded Jacket,120.0,NF0A39UXG78,NF0A39UX,Youth THERMOBALL™ Traction Mules II,sequential_same_session,90,true
20260114,1383756540.1766811525,1768440362,NF0A8A50JK3,NF0A8A50,Men's TNF Thermal Insulation Jacket,115.0,,,,,,false
20260114,1303700333.1768433988,1768440336,NF0A89QHJK3,NF0A89QH,Men’s Montana Ski Mitts,65.0,NF0A8CHQJK3,NF0A8CHQ,Whimzy Powder Hood,cross_session_recency,70,true
20260114,1653769639.1768440340,1768440339,NF0A88TX8K2,NF0A88TX,Boys’ North Down Hooded Jacket,127.5,NF0A7WGEJK3,NF0A7WGE,Kids’ Recycled Etip™ Gloves,sequential_same_session,90,true
20260114,1531331284.1768440244,1768440243,NF0A888QJK3,NF0A888Q,Women’s Osito Etip™ Gloves,40.0,NF0A8974JK3,NF0A8974,Women’s Oh Mega Fur Pom Lined Beanie,sequential_same_session,90,true
20260114,834818004.1768436706,1768436706,NF0A888QQLI,NF0A888Q,Women’s Osito Etip™ Gloves,40.0,NF0A8880QLI,NF0A8880,Women’s Oh Mega Fur Pom Beanie,sequential_same_session,90,true
20260114,62418412.1768275635,1768435577,NF0A8889JK3,NF0A8889,Base Balaclava,20.0,,,,,,false
20260114,0a6EbYl+TnE3Z0vrzrvHFiMOY+AFp+RzscdJNRkJJaE=.1768159840,1768433974,NF0A89QKJK3,NF0A89QK,Women’s Montana Ski Mitts,65.0,,,,,,false
20260114,379434826.1767494770,1768431528,NF0A7UQOBQ7,NF0A7UQO,Women’s Osito Lux Jacket,130.0,NF0A7UQJ0UZ,NF0A7UQJ,Women’s Osito Jacket,sequential_same_session,90,true
20260114,m8Vwkf6MANS5/VXrp0Oh7VbL16+nnNQRgxYvdEyLoOo=.1766660772,1768432071,NF0A888SJK3,NF0A888S,Denali Etip™ Gloves,55.0,NF0A52TG53R,NF0A52TG,Base Camp Travel Canister—S,cross_session_recency,70,true
20260114,2119326655.1768428587,1768428586,NF0A888QJK3,NF0A888Q,Women’s Osito Etip™ Gloves,34.0,NF0A7UQJBTR,NF0A7UQJ,Women’s Osito Jacket,sequential_same_session,90,true
20260114,D2nvedED6Yl9liZp7xCLi0cCxQJ/3KWme+Zf5Vg+Jhc=.1768211754,1768429592,NF00A8AZBO9,NF00A8AZ,Men's Quest Hooded Jacket,60.0,,,,,,false
